ID,COD_POSTAL,AREA_KM2,POBL_2022,POBL_2011,POBL_2000
SanJosé.SanJosé.Carmen,10101,1.47,2946,2702,3360
SanJosé.SanJosé.Merced,10102,2.17,15408,12257,13565
SanJosé.SanJosé.Hospital,10103,3.3,24030,19270,24175
SanJosé.SanJosé.Catedral,10104,2.35,15682,12936,15341
SanJosé.SanJosé.Zapote,10105,2.87,21990,18679,20753
SanJosé.SanJosé.SanFranciscodeDosRíos,10106,2.64,23745,20209,21724
SanJosé.SanJosé.Uruca,10107,8.44,42861,31728,27110
SanJosé.SanJosé.MataRedonda,10108,3.69,10119,8313,9321
SanJosé.SanJosé.Pavas,10109,9.39,89531,71384,76177
SanJosé.SanJosé.Hatillo,10110,4.38,60723,50511,54901
SanJosé.SanJosé.SanSebastián,10111,4.01,44923,40065,43245
SanJosé.Escazú.Escazú,10201,4.56,13752,11984,12379
SanJosé.Escazú.SanAntonio,10202,17.01,28329,22554,20795
SanJosé.Escazú.SanRafael,10203,12.96,29121,21971,19198
SanJosé.Desamparados.Desamparados,10301,3.31,37479,33866,36437
SanJosé.Desamparados.SanMiguel,10302,21.36,38716,31805,28336
SanJosé.Desamparados.SanJuandeDios,10303,2.98,24505,19481,16577
SanJosé.Desamparados.SanRafaelArriba,10304,3.21,18412,15262,13008
SanJosé.Desamparados.SanAntonio,10305,2.1,11343,9727,9775
SanJosé.Desamparados.Frailes,10306,19.57,4586,3772,3504
SanJosé.Desamparados.Patarrá,10307,16.09,14919,11921,28451
SanJosé.Desamparados.SanCristóbal,10308,25.47,4769,3905,3360
SanJosé.Desamparados.Rosario,10309,14.77,3787,3088,2710
SanJosé.Desamparados.Damas,10310,2.57,15713,13175,12993
SanJosé.Desamparados.SanRafaelAbajo,10311,2.01,26781,23283,22481
SanJosé.Desamparados.Gravilias,10312,2.94,17237,15024,15846
SanJosé.Desamparados.LosGuido,10313,3.01,31120,24102,
SanJosé.Puriscal.Santiago,10401,34.52,12600,11512,10884
SanJosé.Puriscal.MercedesSur,10402,183.58,7099,5866,5082
SanJosé.Puriscal.Barbacoas,10403,18.74,4486,3692,3210
SanJosé.Puriscal.GrifoAlto,10404,26.21,1492,1182,1101
SanJosé.Puriscal.SanRafael,10405,15.53,2009,1730,1524
SanJosé.Puriscal.Candelarita,10406,24.87,1753,1436,1425
SanJosé.Puriscal.Desamparaditos,10407,7.14,794,666,572
SanJosé.Puriscal.SanAntonio,10408,14.5,4720,3889,2803
SanJosé.Puriscal.Chires,10409,230.47,3640,3031,2806
SanJosé.Tarrazú.SanMarcos,10501,45.53,11365,9993,8240
SanJosé.Tarrazú.SanLorenzo,10502,185.64,5250,4394,4029
SanJosé.Tarrazú.SanCarlos,10503,58.58,2172,1893,1891
SanJosé.Aserrí.Aserrí,10601,15.25,30347,28191,23844
SanJosé.Aserrí.Tarbaca,10602,15.33,1676,1446,1231
SanJosé.Aserrí.VueltadeJorco,10603,22.04,7342,6499,6155
SanJosé.Aserrí.SanGabriel,10604,11.76,6930,6061,5048
SanJosé.Aserrí.Legua,10605,81.51,1748,1521,1472
SanJosé.Aserrí.Monterrey,10606,8.36,558,498,421
SanJosé.Aserrí.Salitrillos,10607,14.35,15879,13676,11148
SanJosé.Mora.Colón,10701,40.12,17411,16088,13477
SanJosé.Mora.Guayabo,10702,8.99,5414,4449,3215
SanJosé.Mora.Tabarcia,10703,40.39,5160,4703,3994
SanJosé.Mora.PiedrasNegras,10704,14.84,498,379,318
SanJosé.Mora.Picagres,10705,27.2,899,675,662
SanJosé.Mora.Jaris,10706,5.53,1377,,
SanJosé.Mora.Quitirrisí,10707,26.69,,,
SanJosé.Goicoechea.Guadalupe,10801,2.38,22347,20663,23723
SanJosé.Goicoechea.SanFrancisco,10802,0.57,2421,2032,2552
SanJosé.Goicoechea.CalleBlancos,10803,2.36,23451,18984,19411
SanJosé.Goicoechea.MatadePlátano,10804,7.85,21198,17370,16206
SanJosé.Goicoechea.Ipís,10805,2.37,32049,26033,26155
SanJosé.Goicoechea.RanchoRedondo,10806,13.38,3224,2538,2718
SanJosé.Goicoechea.Purral,10807,3.11,36074,27464,26767
SanJosé.SantaAna.SantaAna,10901,5.4,12956,11320,8517
SanJosé.SantaAna.Salitral,10902,20.2,5587,4304,3369
SanJosé.SantaAna.Pozos,10903,13.34,20671,15585,9025
SanJosé.SantaAna.Uruca,10904,7.07,9129,7200,5635
SanJosé.SantaAna.Piedades,10905,12.01,10263,8128,6199
SanJosé.SantaAna.Brasil,10906,3.25,3247,2586,1762
SanJosé.Alajuelita.Alajuelita,11001,1.3,13325,11988,12247
SanJosé.Alajuelita.SanJosecito,11002,2.42,13069,10506,8500
SanJosé.Alajuelita.SanAntonio,11003,10.22,6003,4739,3193
SanJosé.Alajuelita.Concepción,11004,2.4,23455,18721,19268
SanJosé.Alajuelita.SanFelipe,11005,5.1,41306,31649,27089
SanJosé.VázquezdeCoronado.SanIsidro,11101,5.14,18631,16625,15570
SanJosé.VázquezdeCoronado.SanRafael,11102,16.95,8643,7040,6389
SanJosé.VázquezdeCoronado.DulceNombredeJesús,11103,67.86,12149,9744,9352
SanJosé.VázquezdeCoronado.Patalillo,11104,1.97,24907,20349,17731
SanJosé.VázquezdeCoronado.Cascajal,11105,131.72,8602,6728,6543
SanJosé.Acosta.SanIgnacio,11201,22.63,9475,9016,7728
SanJosé.Acosta.Guaitil,11202,43.85,2685,2406,2555
SanJosé.Acosta.Palmichal,11203,34.17,5308,4581,3852
SanJosé.Acosta.Cangrejal,11204,64.46,2121,1875,1987
SanJosé.Acosta.Sabanillas,11205,176.83,2668,2331,2539
SanJosé.Tibás.SanJuan,11301,3.56,25866,21745,24944
SanJosé.Tibás.CincoEsquinas,11302,0.67,8617,5925,6379
SanJosé.Tibás.AnselmoLlorente,11303,1.36,12913,9986,10103
SanJosé.Tibás.LeónXIII,11304,0.78,20551,13661,16400
SanJosé.Tibás.Colima,11305,2,18118,13525,14248
SanJosé.Moravia.SanVicente,11401,5.39,32041,30998,31693
SanJosé.Moravia.SanJerónimo,11402,18.58,7463,6154,4911
SanJosé.Moravia.LaTrinidad,11403,4.94,23755,19767,13815
SanJosé.MontesdeOca.SanPedro,11501,4.7,28844,23977,26524
SanJosé.MontesdeOca.Sabanilla,11502,1.78,14082,10775,11324
SanJosé.MontesdeOca.Mercedes,11503,1.44,6086,4688,4872
SanJosé.MontesdeOca.SanRafael,11504,7.74,13832,9692,7713
SanJosé.Turrubares.SanPablo,11601,26.37,1573,1357,1192
SanJosé.Turrubares.SanPedro,11602,39.11,861,646,499
SanJosé.Turrubares.SanJuandeMata,11603,86.17,1546,1182,2725
SanJosé.Turrubares.SanLuis,11604,43.71,721,517,461
SanJosé.Turrubares.Carara,11605,220.35,2330,1810,
SanJosé.Dota.SantaMaría,11701,92.84,5251,4621,4274
SanJosé.Dota.Jardín,11702,32.71,702,524,475
SanJosé.Dota.Copey,11703,279.41,2088,1803,1770
SanJosé.Curridabat.Curridabat,11801,6.16,32605,28817,30316
SanJosé.Curridabat.Granadilla,11802,3.52,19207,14778,11600
SanJosé.Curridabat.Sánchez,11803,4.53,6833,5364,3147
SanJosé.Curridabat.Tirrases,11804,1.87,22032,16247,15826
SanJosé.PérezZeledón.SanIsidrodeElGeneral,11901,191.53,48435,45327,41221
SanJosé.PérezZeledón.ElGeneral,11902,76.35,6873,6373,5882
SanJosé.PérezZeledón.DanielFlores,11903,64.3,35584,33537,26359
SanJosé.PérezZeledón.Rivas,11904,310.28,7318,6591,6531
SanJosé.PérezZeledón.SanPedro,11905,205.96,9344,9102,9013
SanJosé.PérezZeledón.Platanares,11906,79.84,7497,7203,7308
SanJosé.PérezZeledón.Pejibaye,11907,140.78,7972,7995,8627
SanJosé.PérezZeledón.Cajón,11908,118.86,9045,8542,7467
SanJosé.PérezZeledón.Barú,11909,191.42,2854,2393,2335
SanJosé.PérezZeledón.RíoNuevo,11910,240.68,3495,3061,3219
SanJosé.PérezZeledón.Páramo,11911,203.17,4865,4410,4225
SanJosé.PérezZeledón.LaAmistad,11912,76.11,,,
SanJosé.LeónCortés.SanPablo,12001,20.86,4663,4209,3780
SanJosé.LeónCortés.SanAndrés,12002,16.08,1746,1578,1804
SanJosé.LeónCortés.LlanoBonito,12003,34.51,2269,2111,2135
SanJosé.LeónCortés.SanIsidro,12004,18.86,1870,1531,1426
SanJosé.LeónCortés.SantaCruz,12005,21.97,2164,1665,1626
SanJosé.LeónCortés.SanAntonio,12006,10.15,1278,1106,925
Alajuela.Alajuela.Alajuela,20101,8.89,48326,42975,42889
Alajuela.Alajuela.SanJosé,20102,14.69,52686,41656,35405
Alajuela.Alajuela.Carrizal,20103,16.12,9002,6856,6455
Alajuela.Alajuela.SanAntonio,20104,8.93,31637,24971,22094
Alajuela.Alajuela.Guácima,20105,28.04,26642,20183,15450
Alajuela.Alajuela.SanIsidro,20106,36.09,22586,17294,16247
Alajuela.Alajuela.Sabanilla,20107,43.05,12396,9059,8335
Alajuela.Alajuela.SanRafael,20108,19.29,34182,26248,19162
Alajuela.Alajuela.RíoSegundo,20109,5.57,13561,10794,11036
Alajuela.Alajuela.Desamparados,20110,12.95,33654,26109,21075
